"프린터의 인자 속도","The printer's printing speed"
"수익성이 높은 저축 상품","a high‑yield savings product"
"대학의 학사 운영","the university’s academic administration"
"잘 달라붙는 풀","a sticky glue"
"올여름엔 꼭 놀러 오너라","make sure to come visit this summer"
"배송 확인 문자","a delivery confirmation text"
"어마어마하게 큰 집","a gigantic house"
"싸리나무로 뱅 돌려 친 담","a fence woven in a spiral with broom shrubs"
"끔찍한 살인 사건","a gruesome murder case"
"신랑 신부 입장","the bride and groom’s entrance"
"인상 3차 시기","the third round of raises"
"관광 단지 조성","the development of a tourist complex"
"혼기를 놓친 노처녀","an old maid who missed her chance to marry"
"뉘 앞이라고 감히 나서느냐?","who do you think you are to step forward?"
"이야기하기가 부담스러운 상대","someone it feels burdensome to talk to"
"과거의 잘못에 대한 반성","reflection on past mistakes"
"아이를 무릎에 앉힌 여자","a woman with a child sitting on her lap"
"에너지 효율성이 높은 자동차","an energy‑efficient car"
"숨기에 적당한 곳","a suitable place to hide"
"나도 여력이 있어야 자네를 돕지","I need to have some leeway to help you"
"활동에 불편리한 복장","clothes that are inconvenient for activity"
"유명한 화가가 그린 그림","a painting by a famous artist"
"이 뻥짜야, 그것도 모르니?","you fake, you don’t even know that?"
"생태계의 먹이 사슬","the ecosystem’s food chain"
"콧물을 흘리는 아이","a child with a runny nose"
"초음파 영상 진단기","an ultrasound imaging device"
"학생 신분에 알맞은 옷차림","attire appropriate for a student"
"네가 길을 아니까 앞서서 가라","you know the way, so go ahead"
"겉모양은 멀쩡한데 어디가 아프대?","they look fine, but where do they say it hurts?"
"지구 최초의 생명체","the first life forms on Earth"
"반쯤 허물어진 건물","a half‑collapsed building"
"그리운 고교 시절","those fond high‑school days"
"키 크다고 뽐내지 마라","don’t brag just because you’re tall"
"형제가 달라도 너무 다르군","the brothers are far too different"
"호호, 이렇게 훌륭할 수가 있나","oh my, how can it be this excellent?"
"적절하지 못한 행동","inappropriate behavior"
"건물의 배치 형태","the layout of the buildings"
"연소자 관람 가","suitable for minors"
"세계 기록 보유자","a world record holder"
"결혼 오십 주년","the 50th wedding anniversary"
"게으른 사람이 성공하는 것 봤어?","have you ever seen a lazy person succeed?"
"성질이 요러니 누가 좋아하겠어?","with a temper like that, who would like you?"
"시속 70km의 속력","a speed of 70 km/h"
"너 누구한테 반말이야?","who are you talking down to?"
"오늘 간식은 뭐지?","what’s today’s snack?"
"일선 검찰을 지휘하는 검사장","a chief prosecutor who commands the front‑line prosecutors"
"사고 경위 조사","an investigation into the circumstances of an accident"
"화장실 벽에 있는 낙서들","graffiti on the bathroom wall"
"높디높은 가을 하늘","the lofty autumn sky"
"강대국에 희생된 민족","a people sacrificed to great powers"
"정성이 담긴 선물","a gift made with heartfelt care"
"책을 흥얼대는 소리","the sound of humming a tune"
"다른 사람들은 모두 어데 갔느냐?","where did everyone else go?"
"경찰 수사의 사각지대","blind spots in police investigations"
"이 일은 며칠이나 걸리겠니?","how many days will this take?"
"어깨를 드러내는 옷차림","an outfit that shows the shoulders"
"위험물에 다가서지 마시오","do not approach hazardous materials"
"특급 시설 완비","fully equipped with top‑tier facilities"
"그냥 주는 거니?","are you just giving it away?"
"우주 개발 계획","a space development plan"
"나는 아무거나 먹어도 돼","I can eat anything"
"정정한 벌목 소리","the honest, straightforward sound of logging"
"수영장에서 수영하며 노는 아이들","children playing and swimming in the pool"
"인삼 열두 뿌리","twelve ginseng roots"
"전작보다 나은 속편","a sequel better than the previous work"
"도내 체육 대회","a provincial sports meet"
"약장수를 삑 둘러싼 구경꾼","A crowd tightly surrounding the medicine peddler"
"궁전이 무색할 정도의 큰 저택","A mansion so big it makes a palace look modest"
"가지마다 풍성하게 맺은 열매","Fruit hanging abundantly on every branch"
"술 한잔 받으시고 기분 푸세요","Please have a drink and cheer up"
"이번 일은 네가 심했어","You went too far this time"
"부패한 정권의 잔해","The remnants of a corrupt regime"
"소설의 결말 부분","The ending part of the novel"
"자유주의 헌법 정신","The liberal spirit of the constitution"
"그저 네가 참아라","Just bear with it"
"아아! 이게 어찌 된 일인가?","Ah! What on earth has happened?"
"예쁘게 쓴 글씨","Neatly written handwriting"
"남도 특유의 억센 억양","The distinctive strong accent of the southern provinces"
"제복을 입은 군인","A soldier in uniform"
"노동에 의한 소득","Income from labor"
"흰 물결이 밀려오는 바닷가","A seashore with white waves rolling in"
"관계자 외 출입 금지","No entry except authorized personnel"
"칠천만 국내외 동포","70 million compatriots at home and abroad"
"이것 좀 드세요","Please have some of this"
"인공 지능 기술의 활용 사례","Use cases for AI technology"
"의미 있는 웃음","A meaningful smile"
"원시 공산 사회","A primitive communist society"
"분위기에 걸맞은 옷차림","Attire that suits the occasion"
"합동 군사 훈련","Joint military exercises"
"일이 마치면 식당으로 와라","When you're done, come to the restaurant"
"조선 왕조 오백 년","The 500 years of the Joseon dynasty"
"단어의 형성 방법","Methods of word formation"
"내일 이맘때 만나자","Let's meet this time tomorrow"
"금연 실천 후기","A testimonial about quitting smoking"
"일본 경유 미국행 비행기","A U.S.-bound flight via Japan"
"경쾌한 느낌을 주는 음악","Music that gives a light, upbeat feel"
"매년의 성장 기록","Annual growth records"
"한층 높아진 질서 의식","A heightened sense of order"
"벼가 놓인 베개","A pillow with rice stalks laid on it"
"어머머, 기가 막혀!","Oh my, this is unbelievable!"
"길에 버려진 쓰레기","Trash thrown away on the street"
"초점 잃은 시선","An unfocused gaze"
"직원 단합 운동회","A company sports day to build staff unity"
"이삿짐은 다 쌌니?","Have you finished packing for the move?"
"진심 어린 충고","Sincere advice"
"마당이 넓은 집","A house with a spacious yard"
"피리 부는 소년","A boy playing a flute"
"품질 규격 인증","Quality standards certification"
"이륙 때의 뭉클했던 감상","The moving feeling at takeoff"
"음성 신호의 전달","Transmission of voice signals"
"이 인간이 글쎄 또 사고를 쳤어","This guy, I swear, caused trouble again"
"사건 수사의 장기화","The prolonged investigation of the case"
"공사 기간 단축","Shortening the construction period"
"서로 다른 건의 사항","Different proposals"
"한가로이 그린 만화","A cartoon drawn leisurely"
"봉건 사회의 성립","The formation of feudal society"
"매운 담배 연기","Pungent cigarette smoke"
"해외 체류 기간","Period of stay abroad"
"정가 5,000원짜리 백반","A set meal with a list price of 5,000 won"
"이 밭의 임자가 누구요?","Whose field is this?"
"젊은 시절의 방황","The restless years of youth"
"공과 사의 구별","The distinction between public and private matters"
"웬만한 사람은 다 아는 일","Something most people know"
"어르신네는 차도가 좀 있으신지요?","Are the elders feeling any better?"
"빼빼 마른 사람","A very skinny person"
"방송국의 촬영이 허용된 재판","A trial where TV filming was allowed"
"권위 있는 논문","An authoritative paper"
"면역 저하 상태","An immunocompromised state"
"밥은 제때 챙겨 먹어라","Make sure you eat on time"
"역량 있는 지도자","A capable leader"
"남성 의류 매장","A men's clothing store"
"볼일 끝났으면 돌아가거라","If you're done, go back"
"유가 보상이 가능한 재활용품","Recyclables eligible for a deposit refund"
"속임수가 능한 사람","A person skilled at deception"
"구청의 호적 담당 계원","A district office clerk in charge of family registers"
"별일 없으면 나 좀 도와주게","If nothing comes up, give me a hand"
"남아 선호 사상","A preference for sons"
"동구 앞 정자나무","The shade tree by the village entrance"
"기내 안전 교육","In-flight safety briefing"
"요년을 어디 가서 찾지?","Where am I supposed to find that bitch?"
"아득하게 들리는 엄마의 자장가","Mother's lullaby heard faintly in the distance"
"그 일이 있은 직후","Right after that happened"
"공연장을 가득 메운 관객들","An audience that packed the venue"
"서로를 더욱더 사랑하자","Let's love each other even more"
"생산성이 큰 접사","A high-yield graft"
"어휴, 바빠서 정신이 없군","Whew, I'm so busy I can't think straight"
"너 굶어 죽을 작정이냐?","Are you planning to starve to death?"
"인구 증가 억제","Curbing population growth"
"무역 우대 조치","Preferential trade measures"
"뚱딴지처럼 난데없이 무슨 소리야","What are you saying out of nowhere?"
"자연스러워 보이는 행동","Natural-looking behavior"
"테니스 남자 단식 준결승","The men's singles tennis semifinal"
"에이그, 이를 어쩌면 좋아","Oh dear, what should I do about this?"
"커다란 짐승 한 마리","A large animal"
"농가 개량 사업","A farm improvement project"
"푸른 하늘을 날아가는 비행기","An airplane flying across the blue sky"
"개뿔 같은 소리","That's complete bullshit"
"살이 제법 퉁퉁히 찐 아이","A child who's gotten quite chubby"
"세련되고 품위 있는 가구","Sophisticated, elegant furniture"
"상자는 여기에다가 둘까?","Should I put the box here?"
"무상 의무 교육","Free compulsory education"
"문학상 수상 작가","A literary prize-winning author"
"법령의 유효 기간","The period a law is in effect"
"가장을 정점으로 하는 가족 사회","A family system centered on the head of household"
"활처럼 굽은 길","A road curved like a bow"
"고대 국가의 형성","The formation of ancient states"
"유리문에 비친 동생의 모습","My younger sibling's reflection in the glass door"
"민주적 대항 세력","Democratic opposition forces"
"두툼한 겨울 옷차림","A thick winter outfit"
"건물 시세 평가","An appraisal of a building's market value"
"정국 주도를 위한 전략","A strategy to take the lead in national politics"
"두 남녀의 애틋한 사랑","The tender love between a man and a woman"
"그사이 왜 안 오셨어요?","Why didn't you come in the meantime?"
"트럭 두 대 분량","The equivalent of two truckloads"
"마약류 투약 단속","A crackdown on drug use"
"인구 구성 비율","The population composition ratio"
"밖이 왜 이리 떠들썩하느냐?","Why is it so noisy outside?"
"그것들 참 기특하기도 하지","They're really admirable"
"인제라도 기권하는 것이 어때?","How about dropping out now?"
"글의 전개 수법","The technique for developing a piece of writing"
"소금의 강한 탈수 효과","The strong dehydrating effect of salt"
"이 중에서 하나만 택하세요","Choose just one of these"
"힘 닿는 한 도와주마","I'll help as much as I can"
"평화적 정권 이양","A peaceful transfer of power"
"사과 모양 의자","An apple-shaped chair"
"공장 부지 매입","Purchase of factory land"
"수강 신청 철회 기간","The course registration withdrawal period"
"불공정 거래 행위","Unfair trade practices"
"당장 여기를 떠나라","Leave here immediately"
"당장 그자를 없애 버려라","Get rid of that guy immediately"
"정상 회담 개최","Holding a summit"
"고추기름에 볶아 매콤한 버섯볶음","Spicy stir-fried mushrooms sauteed in chili oil"
"대회 역사상 최연소 우승자","The youngest winner in the tournament's history"
"장관 명의의 확인서","A certificate in the minister's name"
"김이 모락모락 피어오르는 찻잔","A teacup with steam curling up"
"허허, 안 될 말이지","Heh, that's not going to work"
"양국의 공동 관심사","A shared concern of the two countries"
"남북 정상 회담","A North-South summit"
"달에 착륙한 아폴로 우주인들","The Apollo astronauts who landed on the moon"
"잘 포장된 보도","A well-packaged news report"
"섭씨 35도를 넘는 무더위","Sweltering heat over 35 C"
"한일 어업 협정","The Korea-Japan fisheries agreement"
"고거 참, 여우 같네","Well now, that's sly as a fox"
"묵을 맛있게 무쳤구나","You seasoned the acorn jelly deliciously"
"측근에 있는 사람","Someone in his inner circle"
"한 쌍의 젊은 남녀","A young couple"
"방문을 닫고 나와라","Close the door and come out"
"세계 기록 작성자","A world record setter"
"늑대 우는 소리","The sound of wolves howling"
"철을 함유한 광석","Iron-bearing ore"
"천연 과즙 음료","A natural fruit-juice drink"
"힘차게 뻗은 산줄기","A mountain range stretching powerfully"
"기름진 논과 밭","Fertile rice paddies and fields"
"면역 체계의 활성화","Activation of the immune system"
"다른 사람의 꿈을 비웃지 마","Don't laugh at someone else's dreams"
"매일 반복되는 단조로운 일상","A monotonous daily routine repeated every day"
"대통령 연두 기자 회견","The president's New Year press conference"
"쫄깃쫄깃한 라면의 면발","Chewy ramen noodles"
"대통령 직속 자문 기관","A presidential advisory body"
"지금이 정확히 몇 시지요?","What time is it exactly?"
"사업 자금 대출","A business loan"
"은행 대출에 필요한 서류","Documents required for a bank loan"
"배움에 대한 갈망","A thirst for learning"
"국경을 초월한 사랑","Love that transcends borders"
"하늘과 바다가 맞붙은 수평선","The horizon where sky meets sea"
"탁월한 임상 효과","Outstanding clinical efficacy"
"아, 추워. 담요 좀 가져다줘","Ah, it's cold. Bring me a blanket"
"낚싯밥에 걸려든 붕어","A crucian carp caught on the hook"
"수업을 마치고 귀가하는 학생들","Students heading home after class"
"마당에 팬 구덩이","A pit dug in the yard"
"배가 고파서 우는 아기","A baby crying because it's hungry"
"기어코 해내고야 말겠다는 결심","A resolve to get it done no matter what"
"그동안 가내 두루 평강하셨습니까?","Have all in your household been well in the meantime?"
"노후 건물 개조","Renovation of an old building"
"투박하게 짠 양말","Rough-knit socks"
"돼지띠면 나랑 동갑이네","If you're a Pig-year, we're the same age"
"노사 분규 완전 타결","A complete settlement of a labor-management dispute"
"외국 문물에 대한 분별없는 모방","Indiscriminate imitation of foreign culture"
"신분 보장의 불확실성","Uncertainty about status security"
"안개에 휩싸인 마을","A village shrouded in fog"
"대륙 간에 행해지는 무역","Intercontinental trade"
"명예를 좇는 젊은이","A youth who pursues honor"
"이웃 마을에 사는 친구","A friend who lives in the neighboring village"
"어린이 유괴 사건","A child abduction case"
"꼬치에 끼워 말린 곶감","Dried persimmons strung on a skewer"
"축구 국가대표 평가전","A national team soccer friendly"
"눈빛이 파란 고양이","A cat with blue eyes"
"태양의 바깥 궤도를 도는 행성","A planet orbiting in the sun's outer reaches"
"까만 옛날의 일","A dark thing from long ago"
"엿새 동안의 휴가","A six-day vacation"
"두 줄을 띄고 써라","Leave two blank lines between"
"파란 하늘빛 물감","Sky-blue paint"
"전쟁터에서 살아온 군인","A soldier who survived the battlefield"
"네년 이름이 뭐냐?","What's your name, you bitch?"
"같은 직종에 종사하는 사람","Someone in the same line of work"
"황량하고 을씨년스러운 풍경","a desolate, bleak landscape"
"고추냉이를 푼 간장","soy sauce mixed with wasabi"
"눈같이 흰 박꽃","gourd blossoms white as snow"
"선체 인양과 실종자 수색","raising the hull and searching for the missing"
"무상 분양 행사","a free distribution event"
"기생이 나오는 술집","a tavern with gisaeng entertainers"
"절묘하게 생긴 기암괴석들","strangely shaped rock formations"
"산수를 그린 병풍","a folding screen painted with landscapes"
"폭격을 맞고 주저앉은 건물","a building that collapsed after being bombed"
"앞으로 무슨 일을 할 작정인가?","what are you planning to do from now on?"
"하반기 결산 보고","a second-half closing report"
"그 꼴로 어딜 그렇게 돌아다녔니?","where were you going around looking like that?"
"골짜기에 흐르는 시냇물","a stream flowing through the valley"
"애정 어린 손길","a loving touch"
"채용 인원과 방법","the number of hires and the hiring method"
"어둠이 깃든 방 안","a room steeped in darkness"
"예사롭지 않은 징조","an ominous sign"
"생선이 썩는 고약한 냄새","the foul stench of rotting fish"
"잿더미만 남은 참담한 전쟁터","a devastated battlefield reduced to ashes"
"당신의 아내 보냄","sending your wife"
"산사태 우려 지역","a landslide-prone area"
"증기 기관차의 몸체","the body of a steam locomotive"
"진작 말할 것이지","you should have said so earlier"
"통화의 안정적 관리","stable management of the currency"
"대학 병원에서 근무하는 간호사","a nurse working at a university hospital"
"경제 성장의 원동력","the driving force behind economic growth"
"그동안 무고히 잘 지냈는가?","have you been well all this time?"
"성냥으로 불장난하지 마라","do not play with fire using matches"
"강가를 거니는 연인","a couple strolling by the river"
"살찐 뚱뚱한 사람","a very fat person"
"빈번한 사건 발생","frequent incidents"
"귀염둥이 기초반 친구들","the cute kids in the beginner class"
"기자를 사칭한 사기꾼","a scammer posing as a reporter"
"이상향에 대한 동경","a longing for an ideal world"
"감정의 미묘한 변화","subtle changes in emotion"
"석연하지 않은 표정","a dubious expression"
"아프리카의 성자 슈바이처","Schweitzer, the saint of Africa"
"긴박한 대치 국면","a tense standoff"
"인마, 너나 잘해","hey, worry about yourself"
"놓치기가 아까운 인재","talent too good to pass up"
"당신이 뭔데 남의 일에 참견이야?","who are you to meddle in other people's business?"
"고통받는 이에게 축복을 내리소서","grant blessings to those who suffer"
"평생을 두고 잊지 못할 일","something you will never forget for the rest of your life"
"조금 기다려 주세요","please wait a moment"
"허구로 밝혀진 증언","testimony revealed to be false"
"폐수에 오염된 강물","river water polluted by wastewater"
"고요하게 흐르는 강물","a river flowing quietly"
"평화로운 전원의 풍경","a peaceful countryside scene"
"늪에서 자라는 식물","plants growing in a swamp"
"광명의 새 세상","a bright new world"
"생생한 현장 묘사","a vivid on-site description"
"경제 분야의 전문가","an expert in economics"
"돕지는 못할망정 방해나 말아 줘","if you cannot help, at least do not get in the way"
"시간을 지체하지 마라","do not waste time"
"태풍이 지나간 자리","the aftermath of a typhoon"
"박력 있는 사나이","a man with drive"
"가고 싶은 고향","a hometown you want to visit"
"왕복으로 세 시간 걸리는 거리","a distance that takes three hours round trip"
"고속 주행 하는 자동차","a car traveling at high speed"
"액자를 쪼끔 올려서 걸어라","hang the frame a little higher"
"오곡이 무르익는 옥토","fertile soil where the five grains ripen"
"손님에게 방석을 내드려라","offer the guest a cushion"
"끝없이 펼쳐진 초원","endless grassland"
"이리저리 거리에 뒹구는 낙엽","fallen leaves rolling around the streets"
"한가로운 오후 시간","a leisurely afternoon"
"연예 담당 기자","an entertainment reporter"
"차세대를 겨냥한 상품","a product aimed at the next generation"
"동네 사람들로 빼곡한 마을 회관","a community hall packed with locals"
"이별의 한을 표현한 작품","a work expressing the sorrow of parting"
"안개가 자옥한 숲속","a forest thick with fog"
"너 아침 먹었니?","did you eat breakfast?"
"밥알 한 알갱이","a single grain of rice"
"교회 꼭대기에 선 십자가","the cross standing atop the church"
"괴상하게 생긴 장난감","a bizarre-looking toy"
"엄마, 응가 마려워요","Mom, I need to poop"
"그대는 속히 대답하시오","you, answer at once"
"활찐 트인 평야","a wide-open plain"
"포획의 왕자 표범","the leopard, prince of the hunt"
"내게 유감이 있으면 말해 보아라","if you have a grievance with me, say it"
"너부터 먼저 먹어라","you eat first"
"놀라운 기술 혁신","remarkable technological innovation"
"색다른 기술로 만든 신제품","a new product made with novel technology"
"가만, 저게 무슨 소리지?","wait, what is that sound?"
"옷은 옷장 안에 넣어라","put the clothes in the closet"
"방의 한쪽 모퉁이","one corner of the room"
"요것 참 희한하게 생겼네","this sure looks strange"
"땅에 떨군 음식","food dropped on the ground"
"총기 소지 면허","a firearms permit"
"찬란한 승리와 참담한 패배","a glorious victory and a crushing defeat"
"쓰레기가 쌓여 구질구질한 골목길","a grimy alley piled with trash"
"시간별 달의 고도","the moon's altitude by hour"
"못을 든든하게 박아라","hammer the nail in firmly"
"대부분이 인용으로 이루어진 글","a text made up mostly of quotations"
"장관을 지낸 사람","a former minister"
"수사 기관의 검증","verification by investigative authorities"
"야생 동물의 왕국","the kingdom of wild animals"
"뿌옇게 낀 안개","a hazy fog"
"1승 1무 1패","1 win, 1 draw, 1 loss"
"예의 바른 행동","polite behavior"
"하늘이 무섭지 않으냐?","aren't you afraid of heaven?"
"폐허가 된 신전","a ruined temple"
"혼자서는 다루기가 버거운 상대","an opponent too much to handle alone"
"쓸데가 있으니 돈을 좀 빌려줘","I need it for something, so lend me some money"
"헌법 개정안 공고","public notice of a constitutional amendment"
"런던 주재 특파원","a London-based correspondent"
"너희의 꿈을 이루어라","fulfill your dreams"
"평화 통일 지향","aiming for peaceful reunification"
"중점 추진 사항","priority initiatives"
"고난으로 얼룩진 인생","a life stained by hardship"
"매끈하게 단장한 집","a neatly spruced-up house"
"끊이지 않고 밀려드는 관객들","a never-ending stream of spectators"
"야심에 찬 젊은이","an ambitious young person"
"신문에 뭐라고 쓰여 있습니까?","what does it say in the newspaper?"
"등받이가 없는 의자","a chair without a backrest"
"대학 병원 의료진","medical staff at a university hospital"
"좁고 막다른 골목","a narrow dead-end alley"
"관계 당국의 발표","an announcement from the relevant authorities"
"국가 발전의 요체","the key to national development"
"얼어 죽은 사람","a person who froze to death"
"생산 활동의 위축","a contraction in production activity"
"울이 높은 물통","a water bucket with high sides"
"교통 체증 유발","causing traffic congestion"
"대학 입시 요강 확정","finalizing the university admissions guidelines"
"연민에 찬 눈빛","a gaze full of compassion"
"농산물 직판 시장","a direct-from-farmers market"
"파랗게 돋아나는 새싹","green shoots sprouting"
"국가대표 야구 선수","a national-team baseball player"
"중요한 단어에 밑줄을 그어라","underline the important words"
"전격 수색 작전","a blitz search operation"
"주목할 만한 대목","a noteworthy passage"
"주부를 대상으로 한 강습","a class aimed at homemakers"
"부드러운 안심으로 만든 돈가스","tonkatsu made with tender pork loin"
"객석을 꽉 메운 청중","an audience that filled the seats"
"숙련을 요하는 작업","a task requiring skill"
"학기말 시험 채점","grading end-of-term exams"
"선진 문물의 보급","the spread of advanced culture and technology"
"무난한 빛깔의 한복","a hanbok in a modest color"
"교육 기회의 평등","equality of educational opportunity"
"태풍이 닥칠 징후","signs of an approaching typhoon"
"끈기 있는 사람","a persistent person"
"연인과의 달콤한 입맞춤","a sweet kiss with a lover"
"열악한 노동 조건","poor working conditions"
"나이와 능력에 따른 순차적 학습","sequential learning based on age and ability"
"수출 산업의 심각한 뒷걸음질","a serious setback in the export industry"
"한 아름의 꽃다발","an armful of flowers"
"달리는 기차에 뛰어오르지 마라","do not jump onto a moving train"
"먼 친척 할아버지","a grandfather from a distant branch of the family"
"마을과 동떨어진 집","a house isolated from the village"
"안팎이 다른 사람","someone who is different inside and out"
"어려운 농촌 현실","the harsh realities of rural life"
"이 우산 주인 없습니까?","does anyone own this umbrella?"
"민족 문화 수호 운동","a movement to protect national culture"
"야음을 틈탄 기습","a surprise attack under cover of night"
"우리의 영역을 침범한 적","enemies who invaded our territory"
"세계 문학 전집","a complete collection of world literature"
"신인 탤런트 선발 대회","a contest to select new talent"
"아파서 들뜬 얼굴","a fever-flushed face from illness"
"성서의 한 구절","a verse from the Bible"
"신제품에 대한 대대적인 홍보","a major promotional campaign for the new product"
"어찌 벌써 가시오?","why are you leaving already?"
"석양에 타는 저녁놀","the evening glow burning in the sunset"
"우뚝 솟은 산맥","a towering mountain range"
"아차, 깜박 잊었네","oops, I forgot"
"주방 딸린 셋방","a rented room with a kitchen"
"그는 인간이 틀렸어","he is a lost cause as a person"
"소방차 사이렌 소리","the sound of a fire truck siren"
"동생, 그동안 잘 지냈나?","little brother, have you been well?"
"일가가 되는 사람","someone who becomes family"
"정체가 불명한 괴한들","suspicious men of unknown identity"
"운동 경기 종목","sports event categories"
"악수로 퍼붓는 비","rain pouring down in sheets"
"밝은 색상의 옷감","bright-colored fabric"
"처남, 이리로 와서 한잔하지","brother-in-law, come over here for a drink"
"탁발한 기억력의 소유자","a person with a feeble memory"
"새 항로의 발견","the discovery of a new route"
"조선의 관직 체계","the official hierarchy of Joseon"
"정치 풍토 쇄신","a renewal of the political climate"
"신입생 등록 기간","freshman registration period"
"끝없는 갈등의 연속","an endless string of conflict"
"술 좀 작작 마셔라","cut back on the drinking"
"갖가지 야채를 얼린 샐러드","a salad with assorted frozen vegetables"
"경제 분야 관료","a bureaucrat in the economics sector"
"사철 푸른 나무","a tree that stays green year-round"
"현실과 비현실을 넘나드는 작품","a work that moves between reality and fantasy"
"누런 황토 먼지","yellow ocher dust"
"미래에 대한 예측","a prediction about the future"
"손쉬운 해결 방법","an easy solution"
"지하철 혼잡 시간","subway rush hour"
"내가 이런다고 야속해하지 말게","Don't take it personally just because I'm acting like this."
"할아버지께서 생전에 하신 말씀","What Grandpa said when he was alive."
"열차 전복 사고","A train derailment accident."
"의자를 창 쪽으로 다가 두어라","Move the chair closer to the window."
"마음을 짓누르는 걱정","Worries weighing on the heart."
"복잡하게 얽힌 이해관계","Complicated, tangled interests."
"놀라운 광경의 전개","A startling scene unfolding."
"재생 녹화 방송","A rebroadcast of a recorded program."
"화덕 위에 얹힌 냄비","A pot set on a stove."
"울렁대는 이내 가슴","My chest churning."
"특허 무효 심판","A patent invalidation trial."
"불법 영업 중점 단속","A crackdown focused on illegal business operations."
"신정 국사 교과서","A newly revised national history textbook."
"큰댁에 좀 다녀오너라","Go visit the main house."
"독어로 된 원서","An original book in German."
"본고사 제도 부활","Revival of the main entrance exam system."
"그럼 모레 오시지요","Then please come the day after tomorrow."
"정부 출연 기관","A government-funded institution."
"성폭력 예방 대책","Measures to prevent sexual violence."
"완전 경쟁 시장","A perfectly competitive market."
"선조를 모신 사당","A shrine honoring ancestors."
"인도에 벗어나는 행동","Behavior that violates human decency."
"느릿느릿 짠 옷감","Slowly woven fabric."
"국제 대회 정상 등극","Taking the top spot in an international competition."
"남의 물건을 탐내지 마라","Don't covet others' belongings."
"귀족 사회의 분열과 대립","Division and conflict within aristocratic society."
"신입 사원 공채","Open recruitment of new employees."
"자장면 한 그릇","A bowl of jajangmyeon."
"젊고 건장한 남자","A young, sturdy man."
"제도의 보완 작업","Work to improve the system."
"이런 답답한 양반을 봤나","I've never seen such a frustrating fellow."
"일생 잊을 수 없는 일","Something you can never forget in a lifetime."
"이 일부터 우선 해결하자","Let's deal with this first."
"자료 수집 대행 업무","Work of collecting data on behalf."
"계급 간의 대립","Class conflict."
"한밤의 깊은 정적","The deep silence of midnight."
"미국 본토 발음","Mainland U.S. pronunciation."
"삼 할 오 푼의 높은 타율","A high .350 batting average."
"식사 습관과 비만의 관련성","The relationship between eating habits and obesity."
"자존심이 상하는 일","Something that hurts your pride."
"속이 들어찬 배추","A cabbage with a full head."
"맥주의 연간 소비량","Annual beer consumption."
"머리맡에 놓은 물그릇","A bowl of water by the bedside."
"나더러 어쩌란 말이냐?","What am I supposed to do?"
"일회용 종이 기저귀","Disposable paper diapers."
"남자의 억센 손아귀","A man's tough grip."
"낙동강 중류 연안","The midstream banks of the Nakdong River."
"쨍쨍 내리쪼이는 햇볕","The blazing sun beating down."
"시와 수필을 실은 잡지","A magazine carrying poems and essays."
"슬기로 빛나는 눈","Eyes shining with wisdom."
"찌가 움직이는지 잘 보고 있어라","Watch carefully to see if the float moves."
"그따위 짓거리 당장 그만두어라","Stop that nonsense right now."
"몇 호실에 입원하였느냐?","Which room were you admitted to?"
"원방에서 오신 손님","A guest from afar."
"시공 중인 다리","A bridge under construction."
"아기자기했던 학창 시절","Those quaint school days."
"땀 흘려 농사짓는 농부","A farmer working the fields in sweat."
"싱싱하게 팔딱이는 생선","A fresh fish flopping around."
"전쟁에 나간 군인","A soldier gone off to war."
"도수 재활 운동","Manual rehabilitation exercises."
"무어, 형님이 오셨다고?","What, big brother is here?"
"어머니의 손맛이 배어 있는 음식","Food with a mother's homemade touch."
"소유권에 대한 적법한 권리","A lawful right to ownership."
"전몰 군경 유가족","Bereaved families of fallen soldiers and police officers."
"각도 큰 변화구","A breaking ball with a big break."
"마음을 집중해서 공부해라","Focus your mind and study."
"참고 문헌 목록","A list of references."
"앞장서 가는 골목대장","The alley boss leading the way."
"요건 어떻게 할까?","What should we do about this?"
"훈련 경계경보 발령","Issuance of a training alert."
"인간 중심적 세계관","A human-centered worldview."
"포근한 햇솜 이불","A cozy cotton-batting quilt."
"관광 휴양 도시","A tourist resort city."
"고온 다습한 기후","A hot, humid climate."
"국가 자격 시험 응시 수수료","The fee to sit for a national certification exam."
"검정 치마에 흰 저고리","A black skirt and a white jeogori."
"네 귀퉁이가 다 닳은 책","A book worn at all four corners."
"안 될 일은 일찌감치 걷어치워라","Drop what won't work early."
"고 녀석 참 야무지게 생겼군","That kid looks really capable."
"신용 카드 사용자","A credit card user."
"세대 간의 대립","Intergenerational conflict."
"못 보는 사이에 훌쩍 자랐구나","You've grown so much since I last saw you."
"독특한 채색 기법","A distinctive coloring technique."
"한갓 돈만을 위해서 사는 삶","A life lived solely for money."
"부동산 가격의 급락","A sharp drop in real estate prices."
"어떠한 자극도 없는 무료한 일상","A dull daily life without any stimulation."
"내가 살던 고향","My hometown where I used to live."
"좌우에 펼쳐진 논과 밭","Rice paddies and fields spread out on both sides."
"회장 후보로 지목된 사람","A person nominated as a chairperson candidate."
"너 이따 나 좀 보자","See me later."
"이것 좀 살짝 들어 봐라","Lift this a bit."
"씩씩하고 활기찬 걸음걸이","A brisk, energetic stride."
"나무 그늘 아래에서 쉬었다 가자","Let's rest under the shade of a tree."
"도덕성 회복 운동","A movement to restore morality."
"견딜 수 없는 죄책감","Unbearable guilt."
"고층의 대기 현상","Upper-atmosphere phenomena."
